YT Link,Texture Description
https://www.youtube.com/watch?v=PpFNJI631RE,Procedural Layered Rock Material (Blender Tutorial)
https://www.youtube.com/watch?v=qnXvGknSWrs,Procedural Oxidized Bronze Material (Blender Tutorial)
https://www.youtube.com/watch?v=3f7IudK6CiQ,Procedural Dark Wood Floor Boards (Material Demo)
https://www.youtube.com/watch?v=rHjbMVGDqGQ,Procedural Dark Wood Floor Boards Material (Blender Tutorial)
https://www.youtube.com/watch?v=4bBCZwkp8ww,Procedural Glass Material (Blender Tutorial)
https://www.youtube.com/watch?v=27AoKoTv7Q4,Procedural Wood Plank Material (Blender Tutorial)
https://www.youtube.com/watch?v=XxZEvnAFxd4,Making Sushi in Blender 🍣 Part 3 (Tutorial)
https://www.youtube.com/watch?v=HLyr6CdXTgU,Making Sushi in Blender 🍣 Part 1 (Tutorial)
https://www.youtube.com/watch?v=pbFGSpltoKI,Procedural Egg Materials 🍳 🥚 (Blender Tutorial)
https://www.youtube.com/watch?v=CC0pyI7rR90,Easy Sci-Fi Metal Greeble Material (Blender Tutorial)
https://www.youtube.com/watch?v=XhiPLtOK4fg,Procedural Bronze Material (Blender Tutorial)
https://www.youtube.com/watch?v=GTfPLzVvM9I,Procedural Icy Snow Material ❄️ (Blender Tutorial)
https://www.youtube.com/watch?v=78fay5ZVACs,Procedural Grippy Knurled Metal Material (Blender Tutorial)
https://www.youtube.com/watch?v=ZnpkH9USZvs,Procedural Rock Shader (Blender Tutorial)
https://www.youtube.com/watch?v=ewq69iNRdmQ,Procedural Scratched Metal Material (Blender Tutorial)
https://www.youtube.com/watch?v=luQv93hwQxQ,Procedural Rocky Ground Material (Blender Tutorial)
https://www.youtube.com/watch?v=C19GDB2zTPo,Procedural Breaded/Fried Chicken Material 🍗 (Blender Tutorial)
https://www.youtube.com/watch?v=a0dfwkZiUY4,Procedural Rocky Beach Sand Material (Blender Tutorial)
https://www.youtube.com/watch?v=19HGhOVJ5x8,Procedural Stylized Glowing Lava (Material Demo)
https://www.youtube.com/watch?v=qlqlrHNRbGs,Procedural Stylized Glowing Rock Materials (Blender Tutorial)
https://www.youtube.com/watch?v=J5t7gzIfTt0,Introduction to Procedural Shader Nodes for Complete Beginners (Blender Tutorial)
https://www.youtube.com/watch?v=eDCROnr3VqU,3 Procedural Christmas Ornament Materials (Blender Tutorial)
https://www.youtube.com/watch?v=ZQyFI4bOFBU,Procedural Battered Metal Material (Blender Tutorial)
https://www.youtube.com/watch?v=6iurHVVGGnU,Procedural Christmas Candy Material 🍬 (Blender Tutorial)
https://www.youtube.com/watch?v=_12OPe4anyo,3 Procedural Candy Materials 🍭 (Blender Tutorial)
https://www.youtube.com/watch?v=3eSwHK3HMZc,Procedural Quartz Rock Material (Blender Tutorial)
https://www.youtube.com/watch?v=5CFEQTs0LQ0,Procedural White Brick Material (Blender Tutorial)
https://www.youtube.com/watch?v=xaX6OtAMyx4,Procedural Blue Marble Material (Blender Tutorial)
https://www.youtube.com/watch?v=cxS_4tpKOa4,Procedural Saturn Planet Material 🪐 (Blender Tutorial)
https://www.youtube.com/watch?v=2yE3Z9vosmA,Procedural Snowy Mountain Material 🏔️ (Blender Tutorial)
https://www.youtube.com/watch?v=ttcBJ-A8e3s,Procedural Sci-Fi Greeble Material (Blender Tutorial)
https://www.youtube.com/watch?v=F33VHT-r-7Y,Procedural Mars Rock & Sand Material (Blender Tutorial)
https://www.youtube.com/watch?v=51Z29Gph6QI,Procedural Obsidian Material (Blender Tutorial)
https://www.youtube.com/watch?v=9M0Puwo3kB4,Procedural Animated Fire & Smoke 🔥 (Blender Tutorial)
https://www.youtube.com/watch?v=P2r5ruqmwfo,Procedural Hamburger Meat Patty 🍔 (Blender Tutorial)
https://www.youtube.com/watch?v=BKyaRgInXZM,Procedural Cloud Material ☁️ (Blender Tutorial)
https://www.youtube.com/watch?v=r5rwaimsZs0,Procedural Checkered Kitchen Marble Floor Material (Blender Tutorial)
https://www.youtube.com/watch?v=9sbY3hLq2G4,Procedural Desert Rock Materials - Part 2 (Blender Tutorial)
https://www.youtube.com/watch?v=Vzy8nxDvVvY,Procedural Desert Rock Materials - Part 1  (Blender Tutorial)
https://www.youtube.com/watch?v=iPY3R9QRwsA,Procedural Lumpy Clay Material (Blender Tutorial)
https://www.youtube.com/watch?v=84Z2TwcBeA0,Procedural Mars Planet Material - Part 2 (Blender Tutorial)
https://www.youtube.com/watch?v=cZd7EuXq-6w,Procedural Mars Planet Material - Part 1 (Blender Tutorial)
https://www.youtube.com/watch?v=Bcj_Rw79jrc,Procedural Apple Material 🍎 (Blender Tutorial)
https://www.youtube.com/watch?v=gT5__Fd-Thg,Procedural White Birch Tree Bark Material (Blender Tutorial)
https://www.youtube.com/watch?v=e69_fydOxsE,Procedural Dark Leather Material (Blender Tutorial)
https://www.youtube.com/watch?v=jrZ3_wpM0Xk,Procedural Cracked Leather Material (Blender Tutorial)
https://www.youtube.com/watch?v=In9V4-ih16o,Procedural Generic Leather Material (Blender Tutorial)
https://www.youtube.com/watch?v=51jdmRvyImk,Create Custom Material Node Groups in Blender for Beginners (Ultimate Guide)
https://www.youtube.com/watch?v=bCw7mgSNrGk,Procedural Cracked Ice Material 🧊 (Blender Tutorial)
https://www.youtube.com/watch?v=_WEV2A-bllA,Procedural Gardening Soil Material 🪴 (Blender Tutorial)
https://www.youtube.com/watch?v=G1T8H58EP70,Procedural Pixel Shaders (Blender Tutorial)
https://www.youtube.com/watch?v=yehKYgc_4Vs,Procedural Chocolate Bar 🍫 (Blender Tutorial)
https://www.youtube.com/watch?v=XBcT4V4FLdo,Procedural Buffalo Plaid Fabric Material (Blender Tutorial)
https://www.youtube.com/watch?v=Uk4WsD4F9D8,How to Make Procedural Wood in Blender (Three Materials)
https://www.youtube.com/watch?v=N-yXzcU-wls,Procedural Moss Material (Blender Tutorial)
https://www.youtube.com/watch?v=EuRYKEE6BmA,Procedural Chocolate Chip Cookie 🍪 (Blender Tutorial)
https://www.youtube.com/watch?v=ya7K2HlBB9k,Procedural Sci-Fi Air Vent/Fan Material (Blender Tutorial)
https://www.youtube.com/watch?v=WAC_amUh__w,Procedural Mossy Dirt Material (Blender Tutorial)
https://www.youtube.com/watch?v=GMFHaW74Zts,Procedural Caution Stripes Material 🚧 (Blender Tutorial)
https://www.youtube.com/watch?v=d7Uc00uCWSo,Procedural Desert Camo Material (Blender Tutorial)
https://www.youtube.com/watch?v=BtUDs6sxgaw,Procedural Tile Floor Material (Blender Tutorial)
https://www.youtube.com/watch?v=yg5RCNgV57M,Procedural Rocky Lava Material (Blender Tutorial)
https://www.youtube.com/watch?v=52dC0yBS35I,Procedural Biscuit Material (Blender Tutorial)
https://www.youtube.com/watch?v=8jN6-7PwH7k,Procedural Abstract Sci-Fi Alien Material (Blender Tutorial)
https://www.youtube.com/watch?v=wzZH7TW98hI,Procedural Christmas Ball Ornaments (Blender Tutorial)
https://www.youtube.com/watch?v=jnTwqVENCtA,Procedural Glitter Material ✨ (Blender Tutorial)
https://www.youtube.com/watch?v=U7Fxp-GzGLg,Procedural Brick Material 🧱 (Blender Tutorial)
https://www.youtube.com/watch?v=JzFoXnlHxpo,Apple Pie 🥧 With Procedural Materials (Blender Tutorial)
https://www.youtube.com/watch?v=qdVOXc7zs24,Procedural Meatball Material 🍝 (Blender Tutorial)
https://www.youtube.com/watch?v=UeM_qj6Uz8U,Animated Procedural Mold Material (Blender Tutorial)
https://www.youtube.com/watch?v=umrARvXC_MI,Procedural Fabric Material (Blender Tutorial)
https://www.youtube.com/watch?v=oPsP7ZlTbn8,Procedural Sci-Fi Alien Metal (Blender Tutorial)
https://www.youtube.com/watch?v=OO-iHG-Cavk,Procedural Avocado Skin Material 🥑 (Blender Tutorial)
https://www.youtube.com/watch?v=Niech2KIWgI,Procedural Rough Metal Material (Blender Tutorial)
https://www.youtube.com/watch?v=X0J_qR39Rks,Procedural Pumpkin Material (Blender Tutorial)
https://www.youtube.com/watch?v=2-AemQqVBGI,Procedural Snowy Ground Material (Blender Tutorial)
https://www.youtube.com/watch?v=kFnd7T3lgUE,Procedural Stylized Shader (Blender Tutorial)
https://www.youtube.com/watch?v=3yDuiuLf7zE,Procedural Ice Planet 🪐 (Blender Tutorial)
https://www.youtube.com/watch?v=PLRBpblM-DA,Procedural Banana Material 🍌 (Blender Tutorial)
https://www.youtube.com/watch?v=9zw4BLUm6BU,Procedural Lava Planet 🪐 (Blender Tutorial)
https://www.youtube.com/watch?v=le1NElRwLg0,Procedural Solar Panels Material 🛰️ (Blender Tutorial)
https://www.youtube.com/watch?v=KbNPddQbaDo,Procedural Sci-Fi Panels Material (Blender Tutorial)
https://www.youtube.com/watch?v=grP5R4oBrxc,Procedural Martian Surface Material (Blender Tutorial)
https://www.youtube.com/watch?v=Bs2El4JOvcc,Procedural Rock Cave Wall Material (Blender Tutorial)
https://www.youtube.com/watch?v=dyurprN3rrs,Procedural Nuclear Icon Material ☢️ (Blender Tutorial)
https://www.youtube.com/watch?v=FCXvTmNNUeU,Procedural Potato Material 🥔 (Blender Tutorial)
https://www.youtube.com/watch?v=gZQ3BjXDjSg,Procedural Coral Rock Material (Blender Tutorial)
https://www.youtube.com/watch?v=6ECeHoATa74,Procedural Tree Bark (Blender Tutorial)
https://www.youtube.com/watch?v=Eofg9SBcdBY,Procedural Asphalt Material (Blender Tutorial)
https://www.youtube.com/watch?v=Kh6Ln-JfWTo,Procedural Pickle Material (Blender Tutorial)
https://www.youtube.com/watch?v=LW9vH_qBN6Y,Procedural Beach Ball 🏖️ (Blender Tutorial)
https://www.youtube.com/watch?v=CYJL2gP3MTM,Procedural Sci-Fi Metal Plating (Blender Tutorial)
https://www.youtube.com/watch?v=TLiybA8HV5c,Procedural Desert Sand Material (Blender Tutorial)
https://www.youtube.com/watch?v=HWo3jZ0dPII,Procedural Baked Cheese Material (Blender Tutorial)
https://www.youtube.com/watch?v=G01jRNtYzqI,Procedural Bubble Material (Blender Tutorial)
https://www.youtube.com/watch?v=YD2OvkAN15M,Procedural Dented Metal (Blender Tutorial)
https://www.youtube.com/watch?v=nB0WfWH3Or0,Procedural Orange Peel Material 🍊 (Blender Tutorial)
https://www.youtube.com/watch?v=p7O2Ji905dQ,Procedural Ice Material 🧊 (Blender Tutorial)
https://www.youtube.com/watch?v=bCgPjfSSN50,Procedural Brushed Metal Material (Blender Tutorial)
https://www.youtube.com/watch?v=Gs2IVqPGcTM,Procedural Dried Fruit/Candied Ginger (Blender Tutorial)
https://www.youtube.com/watch?v=qJEkhSXMTj4,Procedural Sci-Fi Metal (Blender Tutorial)
https://www.youtube.com/watch?v=fsVgkJeH7Yo,Procedural Coal Material (Blender Tutorial)
https://www.youtube.com/watch?v=iDXGPsrO0_M,Procedural Skin Material (Blender Tutorial)
https://www.youtube.com/watch?v=2_JRwbUORTI,How to Make Procedural Abstract Materials (Blender Tutorial)
https://www.youtube.com/watch?v=eYw5sbF5bhU,Procedural Clay Material (Blender Tutorial)
https://www.youtube.com/watch?v=xWT_7jUTW4Q,Procedural Chunky Rock Material (Blender Tutorial)
https://www.youtube.com/watch?v=uCyUt1Jaufk,Procedural Smooth Concrete Material (Blender Tutorial)
https://www.youtube.com/watch?v=uqfcV56SHMc,Procedural Dirty Metal (Blender Tutorial)
https://www.youtube.com/watch?v=W9bl4VhVcD4,Procedural Crystal Material (Blender Tutorial)
https://www.youtube.com/watch?v=l0whu3494_c,Procedural Scratched Plastic (Blender Tutorial)
https://www.youtube.com/watch?v=bPaZYBFE8dY,Procedural Granite Materials (Blender Tutorial)
https://www.youtube.com/watch?v=iaPf5GDBfTs,Procedural Extreme Rusty Metal (Blender Tutorial)
https://www.youtube.com/watch?v=YKRK82JeBo8,Procedural Stone Material (Blender Tutorial)
https://www.youtube.com/watch?v=5zv3vbiJ_dc,Procedural Damaged Plaster (Blender Tutorial)
https://www.youtube.com/watch?v=UTQFSeM_TGg,Procedural Mud Brick Wall (Blender Tutorial)
https://www.youtube.com/watch?v=E4Q-p3LE8uw,Procedural Metal Crosswalk Plate (Blender Tutorial)
https://www.youtube.com/watch?v=Tjlt3V7W08A,Procedural Cheese Material 🧀 (Blender Tutorial)
https://www.youtube.com/watch?v=ECl2pQ1jQm8,Procedural Galvanized Steel (Blender Tutorial)
https://www.youtube.com/watch?v=jFSFh5hBMck,Procedural Sandstone Material (Blender Tutorial)
https://www.youtube.com/watch?v=Qb3a27oAXjw,Procedural Peppermint Candy 🍬 (Blender Tutorial)
https://www.youtube.com/watch?v=N7osHirLuMY,Procedural Rocky Planet Material (Blender Tutorial)
https://www.youtube.com/watch?v=MieQfrfHrJY,Procedural Damaged Metal (Blender Tutorial)
https://www.youtube.com/watch?v=KWoN_or89yE,Procedural Car Paint (Blender Tutorial)
https://www.youtube.com/watch?v=9Tq-6HReNEk,Procedural Cobblestone Material (Blender Tutorial)
https://www.youtube.com/watch?v=lzXOQ8UWCBo,Procedural Tie Dye/Paint Splatter (Blender Tutorial)
https://www.youtube.com/watch?v=lHaFHPz46kM,Procedural Cardboard Material (Blender Tutorial)
https://www.youtube.com/watch?v=2xkD5OASXnE,Procedural Mud Material (Blender Tutorial)
https://www.youtube.com/watch?v=JYyUMMboZFk,Realistic Glass Shader in Blender Eevee (Tutorial)
https://www.youtube.com/watch?v=waCeHg7yHMw,Procedural Rusty Painted Metal (Blender Tutorial)
https://www.youtube.com/watch?v=Mc7BzYs91CI,Procedural Pool Tiles (Blender Tutorial)
https://www.youtube.com/watch?v=VvD0ql9OvdE,Procedural Sponge Material (Blender Tutorial)
https://www.youtube.com/watch?v=F0as60voirQ,Procedural Gravel Material (Blender Tutorial)
https://www.youtube.com/watch?v=QHPHAwiqIpQ,Procedural Asteroid Material (Blender Tutorial)
https://www.youtube.com/watch?v=3k3Q4o0gh4Y,Procedural Copper Material (Blender Tutorial)
https://www.youtube.com/watch?v=aY-Bqfshfv8,Procedural Lava Rock Material (Blender Tutorial)
https://www.youtube.com/watch?v=PIZ_wi3yFUM,Procedural Dry Cracked Ground (Blender Tutorial)
https://www.youtube.com/watch?v=q30dmqDXzOo,Procedural Rocky Ground (Blender Tutorial)
https://www.youtube.com/watch?v=BRfMMzQJ-EA,Procedural Wood Material 🪵 (Blender Tutorial)
https://www.youtube.com/watch?v=rd2jhGV6tqo,Procedural Wood Floor (Blender Tutorial)
https://www.youtube.com/watch?v=P4zValFjW_Q,Procedural Ore Material (Blender Tutorial)
https://www.youtube.com/watch?v=2MxQUaMlk3A,Procedural Brick Material (Blender Tutorial)
https://www.youtube.com/watch?v=JnF8k1f9Vgs,Procedural Tree Bark Material (Blender Tutorial)
https://www.youtube.com/watch?v=VPI9xq41nOk,Procedural Watermelon Shader (Blender Tutorial)
https://www.youtube.com/watch?v=qMCuDjXjsZ0,Procedural Scratched Metal (Blender Tutorial)
https://www.youtube.com/watch?v=KkZ2L8etib4,Procedural Foil Material (Blender Tutorial)
https://www.youtube.com/watch?v=aK-G5OXSavs,Completely Procedural Earth (Blender Tutorial)
https://www.youtube.com/watch?v=XXZtuPVTU6o,Procedural Gold Material (Blender Tutorial)
https://www.youtube.com/watch?v=iXvWIAZ6_Lc,Procedural Leather Material (Blender Tutorial)
https://www.youtube.com/watch?v=EwB3HWcUdEk,Procedural Plaster Material (Blender Tutorial)
https://www.youtube.com/watch?v=YTMdF6lOOsw,Procedural Rusty Metal (Blender Tutorial)
https://www.youtube.com/watch?v=iTY5ren8WTc,Procedural Lava (Blender Tutorial)
https://www.youtube.com/watch?v=wTzk9T06gdw,Procedural Marble Material (Blender Tutorial)
https://www.youtube.com/watch?v=pEXHCsrTsco,Procedural Dirt Material (Blender Tutorial)
https://www.youtube.com/watch?v=XDqRa0ExDqs,Procedural Concrete Material (Blender Tutorial)
https://www.youtube.com/watch?v=wccIBwnfhrM,Procedural Tile Material (Blender Tutorial)
https://www.youtube.com/watch?v=suoF5H1Ro8E,Procedural Sand (Blender Tutorial)
https://www.youtube.com/watch?v=aq25CWtsLBY,Procedural Rock Material (Blender Tutorial)
https://www.youtube.com/watch?v=q3J1Sz8y3zQ,Procedural Clay Shader (Blender Tutorial)
https://www.youtube.com/watch?v=UzJnsqIRbDw,How to Make Procedural Snow in Blender ❄️ (Tutorial)
